"","low_int1","high_int1","low_int2","high_int2","low_int3","high_int3"
"Bb2_ɐ",NA,NA,NA,NA,-1.063966,-0.617214
"Bb2_ɐː",NA,NA,NA,NA,-1.043659,-0.617214
"Bb2_ɒ",NA,NA,NA,NA,NA,NA
"Bb2_e",-2.424528,-1.957469,NA,NA,-1.49041,-0.617214
"Bb2_ə",NA,NA,NA,NA,NA,NA
"Bb2_ə#",NA,NA,NA,NA,-0.820283,-0.617214
"Bb2_ɛ",NA,NA,NA,NA,-1.348262,-0.617214
"Bb2_ɘ",NA,NA,NA,NA,-1.145193,-0.617214
"Bb2_iː",-2.627597,-1.896548,-1.531024,-1.003045,-0.617214,-0.617214
"Bb2_oː",NA,NA,-1.084272,-1.063966,-0.84059,-0.617214
"Bb2_ɵː",-2.546369,-1.916855,NA,NA,-0.779669,-0.617214
"Bb2_ʉː",-2.60729,-1.977776,-1.348262,-1.063966,-0.718748,-0.617214
"Bb2_ʊ",NA,NA,NA,NA,NA,NA
"Bb3_ɐ",NA,NA,NA,NA,NA,NA
"Bb3_ɐː",-2.627597,-2.201152,NA,NA,NA,NA
"Bb3_ɒ",NA,NA,NA,NA,NA,NA
"Bb3_e",-2.566676,-1.855935,-1.388876,-1.063966,NA,NA
"Bb3_ə",-2.465142,-1.937162,NA,NA,NA,NA
"Bb3_ə#",NA,NA,NA,NA,NA,NA
"Bb3_ɛ",-2.627597,-1.916855,NA,NA,-0.657828,-0.617214
"Bb3_ɘ",-2.627597,-2.099617,NA,NA,NA,NA
"Bb3_iː",-2.627597,-1.815321,-1.449797,-1.104579,NA,NA
"Bb3_oː",-2.627597,-2.322993,NA,NA,-1.307648,-0.617214
"Bb3_ɵː",-2.627597,-1.7544,NA,NA,NA,NA
"Bb3_ʉː",-2.627597,-1.835628,NA,NA,NA,NA
"Bb3_ʊ",-2.627597,-2.180845,NA,NA,NA,NA
"D4_ɐ",-2.627597,-2.485448,NA,NA,-0.860897,-0.617214
"D4_ɐː",-2.627597,-2.201152,NA,NA,-0.820283,-0.617214
"D4_ɒ",NA,NA,NA,NA,NA,NA
"D4_e",-2.566676,-1.876241,-1.42949,-0.982738,NA,NA
"D4_ə",-2.627597,-2.07931,NA,NA,NA,NA
"D4_ə#",NA,NA,NA,NA,NA,NA
"D4_ɛ",-2.627597,-1.937162,-1.267035,-0.921817,-0.820283,-0.617214
"D4_ɘ",-2.627597,-2.119924,NA,NA,NA,NA
"D4_iː",-2.627597,-1.835628,-1.49041,-1.043659,NA,NA
"D4_oː",-2.627597,-2.322993,NA,NA,-1.246728,-0.617214
"D4_ɵː",-2.627597,-1.774707,NA,NA,NA,NA
"D4_ʉː",-2.627597,-1.855935,-1.226421,-1.226421,NA,NA
"D4_ʊ",-2.627597,-2.180845,NA,NA,NA,NA
"F3_ɐ",NA,NA,NA,NA,-0.90151,-0.617214
"F3_ɐː",NA,NA,NA,NA,-0.881203,-0.617214
"F3_ɒ",NA,NA,NA,NA,NA,NA
"F3_e",-2.526062,-1.957469,-1.49041,-0.982738,-0.678134,-0.617214
"F3_ə",NA,NA,NA,NA,NA,NA
"F3_ə#",NA,NA,NA,NA,-0.698441,-0.617214
"F3_ɛ",-2.627597,-2.099617,NA,NA,-1.348262,-0.617214
"F3_ɘ",-2.627597,-2.424528,NA,NA,-0.921817,-0.617214
"F3_iː",-2.627597,-1.876241,-1.531024,-1.043659,NA,NA
"F3_oː",-2.627597,-2.404221,NA,NA,-1.145193,-0.617214
"F3_ɵː",-2.627597,-1.896548,NA,NA,-0.678134,-0.617214
"F3_ʉː",-2.627597,-1.957469,-1.348262,-1.124886,-0.657828,-0.617214
"F3_ʊ",-2.627597,-2.322993,NA,NA,NA,NA
"F4_ɐ",NA,NA,NA,NA,-1.063966,-0.617214
"F4_ɐː",NA,NA,NA,NA,-1.023352,-0.617214
"F4_ɒ",NA,NA,NA,NA,NA,NA
"F4_e",-2.505755,-1.937162,-1.531024,-0.921817,NA,NA
"F4_ə",NA,NA,NA,NA,NA,NA
"F4_ə#",NA,NA,NA,NA,NA,NA
"F4_ɛ",-2.627597,-2.059004,NA,NA,-1.368569,-0.617214
"F4_ɘ",-2.627597,-2.627597,NA,NA,-1.206114,-0.617214
"F4_iː",-2.627597,-1.876241,-1.551331,-1.003045,NA,NA
"F4_oː",-2.627597,-2.444835,NA,NA,-0.921817,-0.617214
"F4_ɵː",-2.627597,-1.896548,-1.267035,-1.1655,NA,NA
"F4_ʉː",-2.627597,-1.937162,-1.368569,-1.063966,NA,NA
"F4_ʊ",-2.627597,-2.363607,NA,NA,NA,NA
"overall",NA,NA,NA,NA,NA,NA
