"","low_int1","high_int1"
"Bb2_Bb3_forte_NZE",-2.568213,-2.205678
"Bb2_Bb3_mezzoforte_NZE",-1.963987,-0.936803
"Bb2_Bb3_mezzopiano_NZE",NA,NA
"Bb2_Bb3_piano_NZE",NA,NA
"Bb2_D4_forte_NZE",-0.674972,-0.654831
"Bb2_D4_mezzoforte_NZE",-1.984128,-1.420184
"Bb2_D4_mezzopiano_NZE",NA,NA
"Bb2_D4_piano_NZE",NA,NA
"Bb2_F3_forte_NZE",NA,NA
"Bb2_F3_mezzoforte_NZE",NA,NA
"Bb2_F3_mezzopiano_NZE",NA,NA
"Bb2_F3_piano_NZE",NA,NA
"Bb2_F4_forte_NZE",NA,NA
"Bb2_F4_mezzoforte_NZE",NA,NA
"Bb2_F4_piano_NZE",-2.286241,-1.943847
"Bb3_D4_forte_NZE",-0.674972,-0.654831
"Bb3_D4_mezzoforte_NZE",NA,NA
"Bb3_D4_mezzopiano_NZE",NA,NA
"Bb3_D4_piano_NZE",NA,NA
"Bb3_F4_forte_NZE",NA,NA
"Bb3_F4_mezzoforte_NZE",NA,NA
"Bb3_F4_piano_NZE",NA,NA
"D4_F4_forte_NZE",NA,NA
"D4_F4_mezzoforte_NZE",NA,NA
"D4_F4_piano_NZE",NA,NA
"F3_Bb3_forte_NZE",NA,NA
"F3_Bb3_mezzoforte_NZE",NA,NA
"F3_Bb3_mezzopiano_NZE",NA,NA
"F3_Bb3_piano_NZE",NA,NA
"F3_D4_forte_NZE",NA,NA
"F3_D4_mezzoforte_NZE",NA,NA
"F3_D4_mezzopiano_NZE",NA,NA
"F3_D4_piano_NZE",NA,NA
"F3_F4_forte_NZE",NA,NA
"F3_F4_mezzoforte_NZE",NA,NA
"F3_F4_piano_NZE",NA,NA
