"","low_int1","high_int1"
"Bb2_Bb3_forte_Tongan",NA,NA
"Bb2_Bb3_mezzoforte_Tongan",NA,NA
"Bb2_Bb3_mezzopiano_Tongan",NA,NA
"Bb2_Bb3_piano_Tongan",NA,NA
"Bb2_D4_forte_Tongan",NA,NA
"Bb2_D4_mezzoforte_Tongan",NA,NA
"Bb2_D4_mezzopiano_Tongan",NA,NA
"Bb2_D4_piano_Tongan",NA,NA
"Bb2_F3_forte_Tongan",NA,NA
"Bb2_F3_mezzoforte_Tongan",NA,NA
"Bb2_F3_mezzopiano_Tongan",NA,NA
"Bb2_F3_piano_Tongan",NA,NA
"Bb2_F4_forte_Tongan",NA,NA
"Bb2_F4_mezzoforte_Tongan",NA,NA
"Bb2_F4_mezzopiano_Tongan",-1.682015,-1.31948
"Bb2_F4_piano_Tongan",NA,NA
"Bb3_D4_forte_Tongan",NA,NA
"Bb3_D4_mezzoforte_Tongan",NA,NA
"Bb3_D4_mezzopiano_Tongan",NA,NA
"Bb3_D4_piano_Tongan",NA,NA
"Bb3_F4_forte_Tongan",NA,NA
"Bb3_F4_mezzoforte_Tongan",NA,NA
"Bb3_F4_mezzopiano_Tongan",-1.80286,-1.238916
"Bb3_F4_piano_Tongan",-2.648777,-2.185537
"D4_F4_forte_Tongan",NA,NA
"D4_F4_mezzoforte_Tongan",NA,NA
"D4_F4_mezzopiano_Tongan",-1.823001,-1.09793
"D4_F4_piano_Tongan",NA,NA
"F3_Bb3_forte_Tongan",NA,NA
"F3_Bb3_mezzoforte_Tongan",NA,NA
"F3_Bb3_mezzopiano_Tongan",NA,NA
"F3_Bb3_piano_Tongan",NA,NA
"F3_D4_forte_Tongan",NA,NA
"F3_D4_mezzoforte_Tongan",NA,NA
"F3_D4_mezzopiano_Tongan",NA,NA
"F3_D4_piano_Tongan",NA,NA
"F3_F4_forte_Tongan",NA,NA
"F3_F4_mezzoforte_Tongan",NA,NA
"F3_F4_mezzopiano_Tongan",-1.722297,-1.218775
"F3_F4_piano_Tongan",NA,NA
